Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,12,186,0,19,191,566,974
Biology,8,277,2,48,513,1252,2100
Business studies,4,82,3,11,220,628,948
Chemistry,12,248,2,68,507,1083,1920
Classics,1,20,1,7,24,56,109
Computing,8,98,0,24,278,618,1026
Design and technology,3,182,2,29,169,406,791
Drama,2,115,3,20,135,320,595
English,30,746,4,143,895,2596,4414
Geography,18,299,0,58,301,809,1485
History,23,406,3,74,362,1089,1957
Mathematics,21,602,4,94,1223,2984,4928
Modern foreign languages,5,363,4,68,604,1203,2247
Music,4,100,4,11,105,273,497
Other,4,184,0,25,246,825,1284
Physical education,29,981,3,95,497,2552,4157
Physics,10,176,1,45,583,1147,1962
Religious education,0,108,2,16,119,375,620
