Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,11,0,1,0,2,14
East Midlands,32,1018,12,78,235,302,1677
East of England,44,1121,14,92,324,360,1955
Isle of Man,1,3,0,1,0,1,6
London,74,1507,13,205,819,867,3485
No region,0,0,0,0,0,0,0
North East,18,528,2,33,155,185,921
North West,64,1569,11,117,379,516,2656
Northern Ireland,28,341,4,34,39,63,509
Scotland,2,33,0,5,25,22,87
South East,102,1487,12,129,507,516,2753
South West,84,1074,2,95,243,289,1787
Wales,16,199,1,27,62,69,374
West Midlands,72,1264,7,93,385,368,2189
Yorkshire and the Humber,9,1262,16,92,297,362,2038
European Economic Area,9,166,3,33,106,74,391
Rest of the World,55,570,3,93,1517,2083,4321
